internal_name,czech,english,french,spanish
"charts","Horoskopy","Charts","Thèmes","Cartas"
"clear","Vymazat","Clear","Effacer","Limpiar"
"column_bodies","Tělesa","Bodies","Corps","Cuerpos"
"column_time","Čas","Time","Heure","Hora"
"confirm","Potvrdit","Confirm","Confirmer","Confirmar"
"context_label","Kontext","Context","Contexte","Contexto"
"current","Aktuální horoskop","Current","Actuel","Actual"
"current_date","Datum, čas a místo","Date","Date","Fecha"
"current_edit","Editace dat primárního horoskopu","Edit","Éditer","Editar"
"current_info","Info","Info","Infos","Info"
"current_info_houses","systém domů","Houses","Maisons","Casas"
"current_info_latitude","zeměpisná šířka","Latitude","Latitude","Latitud"
"current_info_longitude","zeměpisná délka","Longitude","Longitude","Longitud"
"current_info_timezone","časové pásmo","Timezone","Fuseau","Zona"
"current_info_zodiac","typ zvěrokruhu","Zodiac","Zodiaque","Zodiaco"
"current_tags","Tagy","Tags","Tags","Etiquetas"
"current_title","Nazev zobrazovaného horoskopu","Title","Titre","Título"
"dashboard_positions_picker_hint","Zde můžete vybrat, která tělesa a body se zobrazí v panelu Poloha.","Choose which points appear in the Positions panel.","Choisissez les points du panneau Position.","Elija qué puntos aparecen en el panel de posiciones."
"dashboard_positions_picker_title","Vybrat tělesa","Select bodies","Choisir les corps","Elegir cuerpos"
"dashboard_positions_scroll_hint","Scrollujte pro více","Scroll for more","Faites défiler pour plus","Desplácese para ver más"
"database_placeholder","Vlastní rozvržení pro vyhledávání osob","Custom layout for fetching specific persons","Mise en page personnalisée pour rechercher des personnes spécifiques","Diseño personalizado para buscar personas específicas"
"default_aspects","Výchozí aspekty","Default aspects","Aspects par défaut","Aspectos por defecto"
"default_location","Výchozí lokace","Default location","Lieu par défaut","Ubicación por defecto"
"demo_astrolabe_date_value","2. 12. 1987","2 Dec 1987","2 déc. 1987","2 dic. 1987"
"demo_astrolabe_location_value","Pardubice","Pardubice","Pardubice","Pardubice"
"demo_astrolabe_time_value","6:15:00","6:15:00","6:15:00","6:15:00"
"demo_chart_coords","49N06´00 18E22´48","49N06´00 18E22´48","49N06´00 18E22´48","49N06´00 18E22´48"
"demo_chart_date_line","2. 12. 1987","2 Dec 1987","2 déc. 1987","2 dic. 1987"
"demo_chart_house_system","Tropický / Campanus","Tropical / Campanus","Tropical / Campanus","Tropical / Campanus"
"demo_chart_location","Pardubice","Pardubice","Pardubice","Pardubice"
"demo_chart_name","Pavel Malina","Pavel Malina","Pavel Malina","Pavel Malina"
"demo_chart_time_line","6:15:00 GMT+1:00 DTS","6:15:00 GMT+1:00 DST","6:15:00 GMT+1:00 DST","6:15:00 GMT+1:00 DST"
"demo_tag_astrologer","Astrolog","Astrologer","Astrologue","Astrólogo"
"demo_tag_family","Rodina","Family","Famille","Familia"
"demo_tag_writer","Spisovatel","Writer","Écrivain","Escritor"
"details","Podrobné Informace","Details","Détails","Detalles"
"details_details","Detailní informace o poloze planet","Details","Détails","Detalles"
"details_extraversion","Poměr extroverze a introverze","Extraversion","Extraversion","Extraversión"
"details_focal","Ohniskové planety","Focal","Focale","Focal"
"details_focal_angular","Rohová planeta","Angular","Angulaire","Angular"
"details_focal_dispositor","Finální dispozitor","Dispositor","Dispositeur","Dispositor"
"details_focal_item","Polohou","Item","Élément","Ítem"
"details_focal_item_2","Obráběcí planeta","Item","Élément","Ítem"
"details_focal_item_3","Planeta spouštěcí","Item","Élément","Ítem"
"details_focal_item_4","Planety v kontaktu s abstraktními body horoskopu","Item","Élément","Ítem"
"details_focal_ruler","Vládce horoskopu","Ruler","Maître","Regente"
"details_focal_singleton","Singlton","Singleton","Singleton","Singleton"
"details_focal_unaspected","Neaspektované planety","Unaspected","Inaspectée","Inaspectada"
"details_hemisphere","Zdůraznění hemisféry","Hemisphere","Hémisphère","Hemisferio"
"details_item","Převahy pozitivní","Item","Élément","Ítem"
"details_item_dominance","Převaha modu/kvality znamení","Dominance","Dominance","Dominancia"
"details_item_dominance_2","Převaha živlu","Dominance","Dominance","Dominancia"
"details_item_dominance_3","Převaha v domech","Dominance","Dominance","Dominancia"
"details_item_dominance_4","Převaha aspektů","Dominance","Dominance","Dominancia"
"details_lunar","Lunární fáze","Lunar","Lunaire","Lunar"
"details_mercury","Merkur","Mercury","Mercure","Mercurio"
"details_negative","Negativní dynamika","Negative","Négative","Negativa"
"details_negative_item","Kvalita znamení","Item","Élément","Ítem"
"details_negative_item_2","Živlu","Item","Élément","Ítem"
"details_negative_item_3","V domech","Item","Élément","Ítem"
"details_negative_item_4","Aspektů","Item","Élément","Ítem"
"details_pattern","Tvarový diagram horoskopu","Pattern","Forme","Patrón"
"details_patterns","Planetární konfigurace","Patterns","Configurations","Configuraciones"
"details_quadrants","rozdělení v kvadrantech","Quadrants","Quadrants","Cuadrantes"
"details_sabian","Popis Sabiánských symbolů","Sabian","Sabian","Sabiano"
"details_singleton","Singlton v hemisféře","Singleton","Singleton","Singleton"
"details_stellium","Stellium","Stellium","Stellium","Stellium"
"details_sun_moon","Slunce a Luna","Sun Moon","Soleil Lune","Sol Luna"
"details_venus","Venuše","Venus","Vénus","Venus"
"display","Zobrazení Horoskopu","Display","Afficher","Mostrar"
"dynamic","Dynamický","Dynamic","Dynamique","Dinámico"
"element_air","Vzduch","Air","Air","Aire"
"element_earth","Země","Earth","Terre","Tierra"
"element_fire","Oheň","Fire","Feu","Fuego"
"element_water","Voda","Water","Eau","Agua"
"export","Export","Export","Exporter","Exportar"
"export_include","Zahrnout do exportu","Include in export","Inclure dans l'exportation","Incluir en exportación"
"export_include_aspects","Aspekty","Aspects","Aspects","Aspectos"
"export_include_info","Info","Info","Info","Info"
"export_include_location","Lokace","Location","Lieu","Ubicación"
"export_type_pdf","Export PDF","Export PDF","Exporter PDF","Exportar PDF"
"export_type_png","Export PNG","Export PNG","Exporter PNG","Exportar PNG"
"export_type_print","Tisk","Print","Imprimer","Imprimir"
"favorite","Oblíbené","Favorite","Favori","Favorito"
"house_system","Systém domů","House System","Système de Maisons","Sistema de Casas"
"house_type_angular","Aktivní","Angular","Angulaire","Angular"
"house_type_cadent","Výsledné","Cadent","Cadent","Cadente"
"house_type_succedent","Reaktivní","Succedent","Succédent","Succedente"
"info","Info","Info","Info","Info"
"info_angular_planet","Rohová planeta","Angular planet","Planète angulaire","Planeta angular"
"info_by_position","Polohou","By position","Par position","Por posición"
"info_chips_placeholder","Výběr informačních položek…","Information chips…","Pastilles d'information…","Fichas de información…"
"info_detailed_planet_positions","Detailní informace o poloze planet","Detailed planet positions","Positions détaillées","Posiciones detalladas"
"info_dominance_aspects","Převaha aspektů","Aspect dominance","Dominance aspects","Dominancia de aspectos"
"info_dominance_element","Převaha živlu","Element dominance","Dominance élément","Dominancia de elemento"
"info_dominance_houses","Převaha v domech","House dominance","Dominance maisons","Dominancia de casas"
"info_dominance_mode_quality","Převaha modu/kvality znamení","Sign mode/quality dominance","Dominance mode/qualité","Dominancia de modo/cualidad"
"info_extroversion_introversion_ratio","Poměr extroverze a introverze","Extraversion–introversion ratio","Ratio extraversion–introversion","Ratio extraversión–introversión"
"info_final_dispositor","Finální dispozitor","Final dispositor","Dispositor final","Dispositor final"
"info_focal_planet","Obráběcí planeta","Focal planet","Planète focale","Planeta focal"
"info_focal_planets","Ohniskové planety","Focal planets","Planètes focales","Planetas focales"
"info_hemisphere_emphasis","Zdůraznění hemisféry","Hemisphere emphasis","Emphase hémisphère","Énfasis hemisférico"
"info_horoscope_ruler","Vládce horoskopu","Chart ruler","Maître du thème","Regente del horóscopo"
"info_horoscope_shape_diagram","Tvarový diagram horoskopu","Horoscope shape diagram","Diagramme de forme","Diagrama de forma"
"info_lunar_phases","Lunární fáze","Lunar phases","Phases lunaires","Fases lunares"
"info_mercury","Merkur","Mercury","Mercure","Mercurio"
"info_negative_aspects","Aspektů","Aspects","Aspects","Aspectos"
"info_negative_dynamics","Negativní dynamika","Negative dynamics","Dynamiques négatives","Dinámicas negativas"
"info_negative_elements","Živlu","Elements","Éléments","Elementos"
"info_negative_houses","V domech","Houses","Maisons","Casas"
"info_negative_quality_signs","Kvalita znamení","Sign quality","Qualité des signes","Cualidad de signos"
"info_planetary_configuration","Planetární konfigurace","Planetary configuration","Configuration planétaire","Configuración planetaria"
"info_planets_abstract_points","Planety v kontaktu s abstraktními body","Planets and abstract points","Planètes et points abstraits","Planetas y puntos abstractos"
"info_positive_dominances","Převahy pozitivní","Positive dominances","Dominances positives","Dominancias positivas"
"info_quadrant_division","Rozdělení v kvadrantech","Quadrant division","Division en quadrants","División por cuadrantes"
"info_sabian_symbols","Sabiánské symboly","Sabian symbols","Symboles sabian","Símbolos sabianos"
"info_singleton","Singlton","Singleton","Singleton","Singleton"
"info_singleton_hemisphere","Singlton v hemisféře","Singleton in hemisphere","Singleton en hémisphère","Singleton en hemisferio"
"info_stellium","Stellium","Stellium","Stellium","Stellium"
"info_sun_moon_horizon","Slunce a Luna (obzor)","Sun and Moon (horizon)","Soleil et Lune (horizon)","Sol y Luna (horizonte)"
"info_trigger_planet","Planeta spouštěcí","Trigger planet","Planète déclenchante","Planeta disparador"
"info_unaspect_planets","Neaspektované planety","Unaspected planets","Planètes sans aspect","Planetas sin aspecto"
"info_venus","Venuše","Venus","Vénus","Venus"
"item","Uložit horoskop","Item","Élément","Ítem"
"label_color_preset","Barevné přednastavení","Color preset","Thème de couleur","Tema de color"
"label_languages","Jazyky","Languages","Langues","Idiomas"
"label_orb","Orb","Orb","Orb","Orb"
"label_themes","Motivy","Themes","Thèmes","Temas"
"language","Jazyk","Language","Langue","Idioma"
"list_items","Kontexty","Contexts","Contextes","Contextos"
"load","Načíst uložený horoskop","Load","Charger","Cargar"
"load_database","Načíst horoskop z Databáze osobností","Database","Base","Base"
"load_database_advanced","pokročilé vyhledávání","Advanced","Avancé","Avanzado"
"load_database_advanced_item","dle pozice planet ve znameních, stupeň a dům, pohyb","Item","Élément","Ítem"
"load_database_advanced_item_2","poloha domu ve znamení a stupni","Item","Élément","Ítem"
"load_database_advanced_item_3","vyhledávání dle aspektů mezi planetami","Item","Élément","Ítem"
"load_database_item","fultextové vyhledávání","Item","Élément","Ítem"
"load_database_tags","vyhledávání dle tagů","Tags","Tags","Etiquetas"
"load_load","Načíst uložený horoskop z adresaře","Load","Charger","Cargar"
"load_load_advanced","pokročilé vyhledávání","Advanced","Avancé","Avanzado"
"load_load_advanced_item","dle pozice planet ve znameních, stupeň a dům, pohyb","Item","Élément","Ítem"
"load_load_advanced_item_2","poloha domu ve znamení a stupni","Item","Élément","Ítem"
"load_load_advanced_item_3","vyhledávání dle aspektů mezi planetami","Item","Élément","Ítem"
"load_load_item","fultextové vyhledávání","Item","Élément","Ítem"
"load_load_tags","vyhledávání dle tagů","Tags","Tags","Etiquetas"
"loading_positions","Načítání pozic…","Loading positions…","Chargement des positions…","Cargando posiciones…"
"measuring_space","Měření dostupného prostoru…","Measuring available space…","Mesure de l'espace…","Midiendo espacio…"
"mode_view_description","Použijte střední panel pro zobrazení {mode}.","Use the center panel for {mode} view.","Utilisez le panneau central pour la vue {mode}.","Use el panel central para la vista {mode}."
"mode_view_placeholder","Obsah pro zobrazení {mode} bude zobrazen zde.","Content for {mode} view will be displayed here.","Le contenu pour la vue {mode} sera affiché ici.","El contenido para la vista {mode} se mostrará aquí."
"new","Nový horoskop","New","Nouveau","Nuevo"
"new_advanced","Pokročilé","Advanced","Avancé","Avanzado"
"new_advanced_coords","vlastní souřadnice","Coords","Coordonnées","Coordenadas"
"new_advanced_date","Datum","Date","Date","Fecha"
"new_advanced_date_gregorian","Gregoriánské","Gregorian","Grégorien","Gregoriano"
"new_advanced_date_julian","Juliánské","Julian","Julien","Juliano"
"new_advanced_settings","Pokročilé nastavení","Advanced settings","Paramètres avancés","Ajustes avanzados"
"new_advanced_timezone","Časové Pásmo + rozdíl s GMT starfisher","Timezone","Fuseau","Zona"
"new_back","Zpět","Back","Retour","Volver"
"new_context_name","Název nového kontextu","New context name","Nom du nouveau contexte","Nombre del nuevo contexto"
"new_context_placeholder","např. Jan Novák","e.g. John Doe","ex. Jean Dupont","ej. Juan Pérez"
"new_create_submit","Vytvořit horoskop","Create chart","Créer le thème","Crear carta"
"new_date","Datum","Date","Date","Fecha"
"new_date_placeholder","dd.mm.rrrr","dd/mm/yyyy","jj.mm.aaaa","dd/mm/aaaa"
"new_description","Použijte střední panel pro vytvoření nové nativity.","Use the center panel to create a new radix.","Utilisez le panneau central pour créer un nouveau radix.","Use el panel central para crear una nueva radix."
"new_dir_east","Východní","East","Est","Este"
"new_dir_north","Severní","North","Nord","Norte"
"new_dir_south","Jižní","South","Sud","Sur"
"new_dir_west","Západní","West","Ouest","Oeste"
"new_engine_swiss","Švýcarské","Swiss","Suisse","Suizo"
"new_ephemeris_label","Efemeridy","Ephemeris","Éphémérides","Efemérides"
"new_lat_direction","Směr šířky","Latitude direction","Sens de la latitude","Dirección latitud"
"new_location","Lokace","Location","Lieu","Lugar"
"new_location_search","fulltextově","Search","Recherche","Búsqueda"
"new_lon_direction","Směr délky","Longitude direction","Sens de la longitude","Dirección longitud"
"new_name","Název Horoskopu","Name","Nom","Nombre"
"new_notes","Poznámky","Notes","Notes","Notas"
"new_placeholder_any_location","Jakákoliv vyhledatelná lokalita…","Any searchable location…","N’importe quel lieu recherchable…","Cualquier ubicación buscable…"
"new_placeholder_prague","Praha, Česká republika","Prague, Czech Republic","Prague, République tchèque","Praga, República Checa"
"new_radix","Nový Radix","New Radix","Nouveau Radix","Nuevo Radix"
"new_radix_title","Nový Radix","New Radix","Nouveau Radix","Nuevo Radix"
"new_tags","Tag","Tags","Tags","Etiquetas"
"new_tags_comma_hint","Oddělujte čárkou…","Separate with commas…","Séparer par des virgules…","Separar con comas…"
"new_time","Čas","Time","Heure","Hora"
"new_type","Typ horoskopu","Type","Type","Tipo"
"new_type_composite","Kompozitní","Composite","Composite","Compuesta"
"new_type_event","Událost","Event","Événement","Evento"
"new_type_horary","Horární horoskop","Horary Chart","Carte Horaire","Carta Horaria"
"new_type_radix","Nativita","Radix","Radix","Radix"
"open_chart","Otevřít Horoskop","Open Chart","Ouvrir Carte","Abrir Carta"
"open_chart_title","Otevřít Horoskop","Open Chart","Ouvrir Carte","Abrir Carta"
"open_current_folder","Aktuální složka","Current folder","Dossier actuel","Carpeta actual"
"open_description","Vyberte otevřený kontext nebo otevřete nový soubor horoskopu.","Select an opened context or open a new chart file.","Sélectionnez un contexte ouvert ou ouvrez un nouveau fichier de carte.","Seleccione un contexto abierto o abra un nuevo archivo de carta."
"open_file","Otevřít Soubor","Open File","Ouvrir Fichier","Abrir Archivo"
"open_horoscope","Otevřít horoskop","Open Horoscope","Ouvrir l'Horoscope","Abrir Horóscopo"
"open_mode_database","Databáze osobností","Persons Database","Base de Données des Personnes","Base de Datos de Personas"
"open_mode_my_radixes","Moje Nativity","My Radixes","Mes Radixes","Mis Radixes"
"open_search_no_results","Žádná shoda s vyhledáváním.","No matches for your search.","Aucun résultat pour cette recherche.","Sin resultados para su búsqueda."
"open_table_empty","Zatím žádné horoskopy. Otevřete pracovní prostor.","No charts yet. Open a workspace.","Aucun thème pour l’instant. Ouvrez un espace de travail.","Aún no hay cartas. Abra un espacio de trabajo."
"open_workspace","Otevřít pracovní prostor","Open Workspace","Ouvrir l'espace de travail","Abrir espacio de trabajo"
"opened_contexts","Otevřené kontexty","Opened contexts","Contextes ouverts","Contextos abiertos"
"overview","Přehled","Overview","Aperçu","Resumen"
"partner","Partnerský horoskop","Partner","Partenaire","Pareja"
"partner_combined","Relativ horoskop","Combined","Combiné","Combinado"
"partner_composite","Kompozitní horoskop","Composite","Composite","Composite"
"partner_partner","Partnerský horoskop","Partner","Partenaire","Pareja"
"partner_partner_item","Muž","Item","Élément","Ítem"
"partner_partner_item_2","Žena","Item","Élément","Ítem"
"partner_partner_item_item","vložit horoskop z uložených horoskopů","Item","Élément","Ítem"
"partner_partner_item_item_2","vložit horoskop z uložených horoskopů","Item","Élément","Ítem"
"partner_partner_item_timezone","hodina, minuta, den, měsíc rok, město narození, časové pásmo","Timezone","Fuseau","Zona"
"partner_partner_item_timezone_2","hodina, minuta, den, měsíc rok, město narození, časové pásmo","Timezone","Fuseau","Zona"
"partner_progressed","Progresivní synastrie","Progressed","Progressé","Progresada"
"placeholder_default_location","Zadejte výchozí lokaci...","Enter default location...","Lieu par défaut...","Ubicación por defecto..."
"placeholder_latitude","Zeměpisná šířka","Latitude","Latitude","Latitud"
"placeholder_longitude","Zeměpisná délka","Longitude","Longitude","Longitud"
"placeholder_notes","Další poznámky...","Additional notes...","Notes supplémentaires...","Notas adicionales..."
"placeholder_tags_example","např. osobní, důležité","e.g. personal, important","ex. personnel, important","ej. personal, importante"
"placeholder_utc_offset","Časové pásmo (UTC)","UTC offset","Fuseau (UTC)","Zona horaria (UTC)"
"placeholder_view_body","Vyberte jinou položku v postranním panelu nebo se vraťte na hlavní přehled horoskopu.","Choose another item in the sidebar or return to the main horoscope view.","Choisissez un autre élément dans la barre latérale ou revenez à l’horoscope principal.","Elija otra opción en la barra lateral o vuelva a la vista principal del horóscopo."
"placeholder_view_subtitle","Tento pohled zatím není k dispozici","This view is not available yet","Cette vue n’est pas encore disponible","Esta vista aún no está disponible"
"placeholder_view_title","Pracovní prostor","Workspace","Espace de travail","Espacio de trabajo"
"planet_jupiter","Jupiter","Jupiter","Jupiter","Júpiter"
"planet_mars","Mars","Mars","Mars","Marte"
"planet_mercury","Merkur","Mercury","Mercure","Mercurio"
"planet_moon","Luna","Moon","Lune","Luna"
"planet_neptune","Neptun","Neptune","Neptune","Neptuno"
"planet_pluto","Pluto","Pluto","Pluton","Plutón"
"planet_saturn","Saturn","Saturn","Saturne","Saturno"
"planet_sun","Slunce","Sun","Soleil","Sol"
"planet_uranus","Uran","Uranus","Uranus","Urano"
"planet_venus","Venuše","Venus","Vénus","Venus"
"point_asc","ASC","ASC","ASC","ASC"
"point_dsc","DSC","DSC","DSC","DSC"
"positions_summary","Přehled pozic","Positions summary","Résumé des positions","Resumen de posiciones"
"primary_context_tools","Nástroje primárního kontextu.","Primary context tools.","Outils de contexte primaire.","Herramientas de contexto primario."
"radix_chart_area","Oblast radixu","Radix chart area","Zone thème radical","Área de carta radical"
"returns","Revoluce","Returns","Révolutions","Revoluciones"
"returns_item","Trans","Item","Élément","Ítem"
"returns_item_2","OD","Item","Élément","Ítem"
"returns_item_3","DO","Item","Élément","Ítem"
"returns_item_date","Datum, den, měsíc, rok","Date","Date","Fecha"
"returns_item_date_2","Datum, den, měsíc, rok","Date","Date","Fecha"
"returns_item_item","Položka","Item","Élément","Ítem"
"returns_item_time","čas","Time","Heure","Hora"
"returns_item_time_2","čas","Time","Heure","Hora"
"returns_item_timezone","časové pásmo","Timezone","Fuseau","Zona"
"returns_item_timezone_2","časové pásmo","Timezone","Fuseau","Zona"
"returns_lunar","Lunár","Lunar","Lunaire","Lunar"
"returns_relative","Relativ","Relative","Relative","Relativo"
"returns_returns","Revoluce","Returns","Révolutions","Revoluciones"
"returns_returns_item","Volitelný zlomek","Item","Élément","Ítem"
"returns_returns_returns","Pouze Revoluce","Returns","Révolutions","Revoluciones"
"returns_returns_returns_2","Revoluce, polo a čtvrt","Returns","Révolutions","Revoluciones"
"returns_solar","Solár","Solar","Solaire","Solar"
"revolution","Revoluce","Revolution","Révolution","Revolución"
"revolution_lunar","Lunární","Lunar","Lunaire","Lunar"
"revolution_solar","Solar","Solar","Solaire","Solar"
"right_panel","Poloha","Location","Position","Ubicación"
"right_panel_description","Rozbalitelný obsah (vpravo). Vložte vlastnosti, protokoly atd.","Expandable content (right). Put properties, logs, etc.","Contenu extensible (droite). Mettez des propriétés, journaux, etc.","Contenido expandible (derecha). Coloque propiedades, registros, etc."
"save_workspace","Uložit pracovní prostor","Save Workspace","Enregistrer l'espace de travail","Guardar espacio de trabajo"
"search_fulltext","Fulltextové vyhledávání","Fulltext search","Recherche en texte intégral","Búsqueda de texto completo"
"search_placeholder","Hledat…","Search…","Rechercher…","Buscar…"
"section_jazyk","Jazyk","Language","Langue","Idioma"
"section_lokace","Lokace","Location","Lieu","Ubicación"
"section_manual","Manuál","Manual","Manuel","Manual"
"section_nastaveni_aspektu","Nastavení aspektů","Aspect settings","Aspects","Aspectos"
"section_system_domu","Systém domů","House system","Système de maisons","Sistema de casas"
"section_vzhled","Vzhled","Appearance","Apparence","Apariencia"
"select_glyph_set","Vybrat sadu symbolů","Select glyph set","Choisir le set de glyphes","Seleccionar set de glifos"
"select_language","Vybrat jazyk","Select language","Choisir la langue","Seleccionar idioma"
"select_preset","Vybrat přednastavení","Select preset","Choisir le thème","Seleccionar tema"
"selected","vybráno","selected","sélectionné","seleccionado"
"settings","Nastavení","Settings","Paramètres","Ajustes"
"settings_about","O Aplikaci a právní ujednání využití","About","À propos","Acerca"
"settings_aspects","Nastavení aspektů","Aspects","Aspects","Aspectos"
"settings_day","Tlačítko pro denní a noční mod","Day","Jour","Día"
"settings_guide","Návod ke stažení a odkaz na videa s návodem","Guide","Guide","Guía"
"settings_houses","Nastavení domů","Houses","Maisons","Casas"
"settings_item","zvětšení a zmenšení astrologických značek a glyfů jako SF","Item","Élément","Ítem"
"settings_planets","Nastavení planet","Planets","Planètes","Planetas"
"settings_signs","Nastavení znamení","Signs","Signes","Signos"
"settings_topocentric","Systém výpočtu topocentrický a geocentrický","Topocentric","Topocentrique","Topocéntrico"
"settings_zodiac","Typ zvěrokruhu","Zodiac","Zodiaque","Zodiaco"
"settings_zodiac_galactic","Galaktický","Galactic","Galactique","Galáctico"
"settings_zodiac_sidereal","Siderický Bradly fagan","Sidereal","Sidéral","Sideral"
"settings_zodiac_tropical","Tropický","Tropical","Tropical","Tropical"
"share","Sdílet","Share","Partager","Compartir"
"share_item","PDF","Item","Élément","Ítem"
"share_item_2","Excel","Item","Élément","Ítem"
"share_print","Tisk","Print","Imprimer","Imprimir"
"share_screenshot","screen obrazovky","Screenshot","Capture","Captura"
"sidebar_dynamics","Dynamika","Dynamics","Dynamique","Dinámica"
"sidebar_horoscope","Horoskop","Horoscope","Thème","Carta natal"
"sidebar_information","Informace","Information","Informations","Información"
"sidebar_menu","Menu","Menu","Menu","Menú"
"sidebar_new","Nový","New","Nouveau","Nuevo"
"sidebar_open","Otevřít","Open","Ouvrir","Abrir"
"sidebar_save","Uložit","Save","Enregistrer","Guardar"
"sidebar_synastry","Synastrie","Synastry","Synastrie","Sinastría"
"sidebar_theme_cycle_hint","Aktuální: {{theme}}. Klikněte pro další motiv.","Current: {{theme}}. Click for next theme.","Actuel : {{theme}}. Clic pour le thème suivant.","Actual: {{theme}}. Clic para el siguiente tema."
"sidebar_theme_midnight","Půlnoc","Midnight","Minuit","Medianoche"
"sidebar_theme_noon","Poledne","Noon","Midi","Mediodía"
"sidebar_theme_sunrise","Svítání","Sunrise","Aube","Amanecer"
"sidebar_theme_twilight","Soumrak","Twilight","Crépuscule","Crepúsculo"
"sidebar_transits","Tranzity","Transits","Transits","Tránsitos"
"sign_mode_cardinal","Kardinální","Cardinal","Cardinal","Cardinal"
"sign_mode_fixed","Fixní","Fixed","Fixe","Fijo"
"sign_mode_mutable","Mutabilní","Mutable","Mutable","Mutable"
"table_chart_type","Typ","Chart Type","Type de Carte","Tipo de Carta"
"table_date_time","Datum a čas","Date & Time","Date et Heure","Fecha y Hora"
"table_location","Poloha","Location","Position","Ubicación"
"table_name","Název","Name","Nom","Nombre"
"table_object","Objekt","Object","Objet","Objeto"
"table_place","Místo","Place","Lieu","Lugar"
"table_tags","Tagy","Tags","Tags","Etiquetas"
"table_tools","Nástroje Tabulky","Table Tools","Outils de Tableau","Herramientas de Tabla"
"table_tools_description","Filtry a pomocníci tabulky.","Table filters and helpers.","Filtres et aides de tableau.","Filtros y ayudantes de tabla."
"time_nav_apply_shift","Aplikovat posun","Apply Shift","Appliquer le Décalage","Aplicar Desplazamiento"
"time_nav_current_time","Aktuální čas","Current Time","Heure Actuelle","Hora Actual"
"time_nav_days","Dny","Days","Jours","Días"
"time_nav_first","První","First","Premier","Primero"
"time_nav_hours","Hodiny","Hours","Heures","Horas"
"time_nav_last","Poslední","Last","Dernier","Último"
"time_nav_minutes","Minuty","Minutes","Minutes","Minutos"
"time_nav_months","Měsíce","Months","Mois","Meses"
"time_nav_next","Další","Next","Suivant","Siguiente"
"time_nav_now","Nyní","Now","Maintenant","Ahora"
"time_nav_previous","Předchozí","Previous","Précédent","Anterior"
"time_nav_reset","Resetovat","Reset","Réinitialiser","Restablecer"
"time_nav_seconds","Sekundy","Seconds","Secondes","Segundos"
"time_nav_shift","Posun času","Time Shift","Décalage Temporel","Desplazamiento de Tiempo"
"time_nav_shift_active","Posun aktivní","Shift active","Décalage actif","Desplazamiento activo"
"time_nav_step_size","Velikost kroku","Step Size","Taille du Pas","Tamaño del Paso"
"time_nav_update","Aktualizuj","Update","Mettre à jour","Actualizar"
"time_nav_years","Roky","Years","Années","Años"
"time_placeholder","HH:MM:SS","HH:MM:SS","HH:MM:SS","HH:MM:SS"
"time_range","Časové rozmezí","Time range","Plage horaire","Rango de tiempo"
"toast_chart_name_required","Zadejte název horoskopu.","Enter a chart name.","Saisissez un nom de thème.","Introduzca un nombre de carta."
"toast_export_coming_soon","Export do souboru zatím není dokončen — volby se uloží pro později.","File export is not wired up yet; your choices are remembered for later.","L’export fichier n’est pas encore prêt ; vos choix seront repris plus tard.","La exportación a archivo aún no está lista; sus opciones quedan para después."
"toast_nothing_to_save","Nic k uložení","Nothing to save","Rien à enregistrer","Nada que guardar"
